"Data Source","Indicadores del desarrollo mundial",
"Grecia","GRC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.41494286488823","1.57141461067831","1.87530704688656","1.61696282198232","1.4171283457486","0.7","1.2","0.9","1.1","1","1.2","1","1.2","1.3","1.4","1.6","1.6","1.5","1.4","1","0.8","","",
"Granada","GRD","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8","5.9","13.7","8.8","5.8","10.7","11.6","10.6","15.4","6.7","9.6","3.8","13.3","5.7","7.5","","","",
"Groenlandia","GRL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","19.3","22.9","31.8","31.8","17.7","8.9","5.3","21.3","12.5","","",
"Guatemala","GTM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5489794746735","35.3196220849234","38.1433409197048","30.8677838628448","24.1928561548357","24.8","27","29.6","33.7","35","","43.6","41.9","44.6","45.1","40.5","37.7","33.5","33.5","31.2","","","",
"Guam","GUM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","5.1","1.3","5.1","5.7","4.4","6.9","0.6","0.6","3.2","1.9","2.5","","","","","","",
"Guyana","GUY","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9729593848174","12.0714961796458","11.9220054183459","15.4697463782996","12.4402594135853","10","10.6","19.1","27.7","17.7","19.1","20.6","15.4","21.1","15.6","18.6","17.2","18.3","20.4","","19.4","","",
"Ingreso alto","HIC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","2","2.2","","",
"Hong Kong, Región Administrativa Especial","HKG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.96","1","0.8","0.7","0.5","0.5","0.3","0.5","0.7","0.5","0.2","0.4","0.9","0.4","0.3","","",
"Honduras","HND","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0842525751359","50.9","54.7","55.7","61.5","53.9","46.7","44.5","50.3","61.4","71.5","83.1","93.2","92.7","81.9","74.6","63.8","","",
"Países pobres muy endeudados (PPME)","HPC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6","","8.3","8.1","","",
"Croacia","HRV","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.55536441307252","2.61987765600835","2.55113622851262","2.85855062318586","2.66517358209461","2.3","1.8","1.7","1.5","1.9","1.5","1.6","1.4","1.5","1.1","1.4","1.1","1.2","1.1","0.8","0.9","","",
"Haití","HTI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","5.1","6.1","6.8","9","10","","","","","",
"Hungría","HUN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.86505133910661","2.62749838980887","2.80818575458866","2.81539704599579","2.47132530045162","2","2.5","2","2.2","2.1","1.6","1.7","1.5","1.8","1.4","1.4","1.5","1.2","1.6","1.5","","","",
"Sólo BIRF","IBD","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","5.6","5.6","","",
"BIRF y la AIF","IBT","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","5.9","5.9","","",
"total de la AIF","IDA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","","7.1","6.9","","",
"mezcla de la AIF","IDB","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9","","8","7.7","","",
"Indonesia","IDN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","0.7","0.6","","","","0.6","0.5","0.4","0.6","0.6","0.6","0.5","","","",
"Sólo AIF","IDX","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4","","6.7","6.5","","",
"Isla de Man","IMN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.36626277958339","4.39507984612006","4.35247069459663","4.47327353382515","4.23340240421416","4.5","4.2","4.1","3.6","3.7","3.6","3.6","3.5","3.5","3.4","3.4","3.5","3.4","3.3","3.2","","","",
"No clasificado","INX","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Irlanda","IRL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.19081972152542","1.15433547792375","1.03546184323108","1.02517423240754","1.01307803766784","0.1","1.3","1.3","1.1","0.7","1.2","1.4","1.8","1.1","1.2","1.1","0.9","1.2","1.1","1.1","0.6","","",
"Irán, República Islámica del","IRN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","","","","","5.2","","","","","4.1","","",
"Iraq","IRQ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1","29.9","66.1","","","","","","","","","","",
"Islandia","ISL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.370207204972623","0.733041094283746","0","0.718383063400897","1.8","0.4","1.4","0","1","1","0","0.7","0","0.3","0.6","0.9","0.3","0.3","0.3","0.9","","",
"Israel","ISR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.10049400993496","2.13240056907757","2.77048404440944","2.54981904090378","2.32504226655303","2.4","3.6","3.6","3.1","2.7","2.5","2.7","1.8","1.9","1.8","2","2","1.7","","1.5","1.4","","",
"Italia","ITA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.77643467769709","1.67374034178937","1.53458619786494","1.54085584551281","1.41541754017417","1.3","1.2","1.1","1.2","1.2","1","1.1","1.1","1","1","0.9","0.9","0.9","0.8","0.8","0.8","","",
"Jamaica","JAM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.687789151076","37.2282538701285","41.3732573308988","33.9049949675357","33.3854182344587","34.1","43.5","39.7","36.8","55.2","62.5","49.8","58.6","59.6","61.7","52.8","41.2","39.8","43.3","36.1","43.2","","",
"Jordania","JOR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","1.8","1.9","2","1.6","1.8","2.1","2.3","2","","","","",
"Japón","JPN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.543833004420133","0.493530480386386","0.541203531611255","0.571311769404654","0.536916519813227","","","","0.6","0.6","0.5","0.5","0.5","0.5","0.4","0.4","0.3","0.3","0.3","0.3","","","",
"Kazajstán","KAZ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3649540781269","16.7063971308529","16.6680809672214","16.5802074248802","15.7402297198345","15.5","14.5","13.1","13.2","13.7","11.7","11.1","10.5","11.4","11","8.6","8.6","7.5","6.5","5.2","4.8","","",
"Kenya","KEN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","3.6","3.5","3.4","3.7","5.6","5.6","6.4","6.5","6.6","5.9","5.8","","",
"Kirguistán","KGZ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6503543558715","11.1401719106683","9.26304364201776","8.81035351284342","8.83878204441233","8.7","7.7","8.2","8.3","8.3","8.2","8.2","8.1","8.1","7.8","19.6","8.9","5.3","3.6","3.7","5.1","","",
"Camboya","KHM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5544070035964","4.72996523737357","6.75975926391762","6.6159814078408","4.75278405983305","","3.3","3.4","3.9","3.9","3.4","3.3","3.3","2.5","2.5","2.3","1.8","","","","","","",
"Kiribati","KIR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","1","3.9","10.5","7.5","","","","","",
"Saint Kitts y Nevis","KNA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.27622272210756","9.15038660383401","15.8006410545799","17.822135091784","13.1929022186064","6.6","13","10.7","21","22.7","16.3","34.1","31.7","45","52.2","40.1","64.2","33.6","","","","","",
"Corea, República de","KOR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.8","0.7","0.7","","","",
"Kuwait","KWT","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","1.4","1.7","2","1.8","1.8","","","","","",
"América Latina y el Caribe (excluido altos ingresos)","LAC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9","","23.2","23","","",
"República Democrática Popular Lao","LAO","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.6","","","","","8","","","","","6.9","","",
"Líbano","LBN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","3.5","3.8","3.7","3.9","4.5","4.3","3.9","","",
"Liberia","LBR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","4.8","3.8","3.3","3.9","3.2","","","","","",
"Libia","LBY","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","","","","","3.1","","","","","2.5","","",
"Santa Lucía","LCA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","21.4","26.2","22.3","22.6","24.8","25.6","17","22.6","22.3","24.8","","21.6","","","","","",
"América Latina y el Caribe","LCN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2","","22.5","22.3","","",
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","6.3","6.2","","",
"Países de ingreso bajo","LIC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4","","7.4","7.3","","",
"Liechtenstein","LIE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","3.07976593778873","0","0","0","0","2.9","0","0","0","2.8","0","2.8","0","0","0","2.7","0","","",
"Sri Lanka","LKA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","7.1","6.3","10.4","8.4","10","5.5","3.8","3.6","3.3","2.9","","","","",
"Países de ingreso mediano bajo","LMC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","","4.6","4.6","","",
"Ingreso mediano y bajo","LMY","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","6","5.9","","",
"Lesotho","LSO","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8","38.1","36.3","38","","","","","","","",
"avanzada del dividendo demográfico","LTE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","4.6","4.8","","",
"Lituania","LTU","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8326154334513","11.2373766801959","10.9305565805864","8.76101747245491","8.76911183937939","","","","","10.2","11.1","8.7","8.5","9.3","7.9","7","6.9","6.7","6.7","5.5","6","","",
"Luxemburgo","LUX","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.490771050397279","0.967639709030739","0.95384578698239","0.940698374473209","1.39324277255312","","","","","","","1.5","1.5","1.6","1","2","0.8","0","0.2","0.7","","","",
"Letonia","LVA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5565417851246","10.8827316631047","11.1521389556514","10.3313512291622","9.53192821334203","10","9.3","9.2","8.8","8","5.7","5.8","4.3","4.6","5.1","3.3","3.3","4.8","3.4","3.9","4.1","","",
"Región Administrativa Especial de Macao, China","MAC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","1.2","0.4","0.7","0.7","0.2","0","0.2","","",
"Isla de San Martín (parte francesa)","MAF","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marruecos","MAR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.89843953192356","1.6","1.9","1.6","1.7","1.6","1.5","1.6","1.7","1.4","1.4","1.4","1.4","1.2","1.3","1","","","",
"Mónaco","MCO","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","3","3","2.9","0","0","","","","","","","","","",
"República de Moldova","MDA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.10400460962259","9.28573434953315","9.32440252368","8.45713040326535","9.11905380697699","10.3","9.8","9.6","7.6","6.6","7.1","6.3","5.3","5.7","6","6.5","7.5","5.6","4.1","3.2","","","",
"Madagascar","MDG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","1.8","4.6","3","3.1","0.7","0.6","","","","","","","",
"Maldivas","MDV","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1.6","1.8","1.8","0.9","2.9","0.9","","","","",
"Oriente Medio y Norte de África","MEA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","","3.9","3.4","","",
"México","MEX","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.919404883017","15.4541353492245","14.1992969608716","14.0780699700077","12.4338048853921","10.4","9.9","9.6","9.4","8.6","9","9.4","7.8","12.2","17","21.7","22.6","21.3","18.6","16","16.3","","",
"Islas Marshall","MHL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","","","","","",
" Ingreso mediano","MIC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","5.8","5.7","","",
"Ex República Yugoslava de Macedonia","MKD","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40914995151586","1.89888155876189","2.3","2.7","3","3.4","2.4","2.2","2.2","2","1.7","1.7","2.1","1.5","1.4","1.1","1.6","","","",
"Malí","MLI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6","","","","","12.1","","","","","10.8","","",
"Malta","MLT","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27087733746114","2.52947470398822","1","1.5","1.5","0","1.8","1","0","1","1.5","1","1","0.7","2.9","1.7","1.4","1","","",
"Myanmar","MMR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","1.8","1.7","1.6","1.5","1.7","1.6","1.7","1.7","1.5","2","2.7","2.4","2.5","2.4","","",
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","3.9","3.7","","",
"Montenegro","MNE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","3.9","3.4","2.4","3.4","2.7","1.6","3.2","2.7","","",
"Mongolia","MNG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9","13.3","15.8","13.1","11.3","8.1","8.2","8.8","9.6","7.1","7.3","7.5","7.2","","",
"Mariana","MNP","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.87139563098585","","5.9","5.4","5.2","5.5","5.2","4.1","3.8","4.3","3.5","3.6","3.4","","","","","","",
"Mauritania","MRT","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3","","","","","10.9","","","","","10.2","","",
"Mauricio","MUS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.19857919018414","2.95537042960655","2.06471505211685","2.64178052598702","1.94179675297813","","","","","","","","","","3.1","2.6","2.7","","","","","","",
"Malawi","MWI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","7.8","4.8","2.5","3.3","1.6","6.3","5.1","5.6","2.2","3.5","2.3","1.8","","","","","",
"Malasia","MYS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.91112220033869","2.10381632280958","2.47916821519033","2.81779131034374","2.57131259998274","","2.2","2.3","2.3","2","2.3","2.2","2.4","2.2","2","1.9","","","","","","","",
"América del Norte","NAC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","","3.6","4.6","","",
"Namibia","NAM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5875525024344","20.7528035391467","18.6657472692069","22.5787607644381","20.4750425978129","20","18.3","17.7","","17.6","","","","16.7","18","14.3","13.7","16.9","","","","","",
"Nueva Caledonia","NCL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","5.1","4.6","3.3","","","","","","","","",
"Níger","NER","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","4.5","","","","","",
"Nigeria","NGA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8","","","","","10.7","","","","","9.8","","",
"Nicaragua","NIC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2467953694598","13.9864158520601","14.0731251187873","13.0092595797215","11.2318383576289","9.5","10.5","10.7","12.1","12.2","13.6","13.2","12.9","13.2","14.2","13.7","12.7","11.5","","","","","",
"Países Bajos","NLD","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.93876800047205","1.35978823908196","1.33283633916763","1.12168318759418","1.28680287929434","1.1","1.3","1.2","1.2","1.2","1.1","0.8","0.9","0.9","0.9","0.9","0.9","0.9","0.7","0.7","0.6","","",
